标题,标签,小区,地段,价格(万),单价,户型,面积,朝向,装修,楼层,年份,形式,关注人数,分布日期,交通,VR,房本,看房时期
世纪星城 带电梯复式 楼上没算面积 适合三代人居住,必看好房,世纪星城 ,通州北苑,550,"59,653元/平",4室2厅 , 92.2平米 , 南 北 , 简装 , 高楼层(共10层) , 2005年建 , 板楼,134人关注 , 2个月以前发布,,VR房源,房本满五年,随时看房
长城国际东向小户型，随时可看，业主诚心出售,必看好房,长城国际 ,通州北苑,183,"37,717元/平",1室1厅 , 48.52平米 , 东 西 , 精装 , 22层 , 2009年建 , 塔楼,8人关注 , 8天以前发布,,VR房源,房本满五年,随时看房
四环边，首开华润城，精装修南北三居室,必看好房,首开华润城 ,科技园区,990,"88,559元/平",3室1厅 , 111.79平米 , 南 北 , 精装 , 中楼层(共9层) , 2018年建 , 板楼,30人关注 , 1个月以前发布,近地铁,VR房源,房本满两年,
星河城西区近地铁，看房子方便视野好没有遮挡,必看好房,星河城西区 ,马家堡,1100,"79,584元/平",3室2厅 , 138.22平米 , 南 北 , 精装 , 中楼层(共11层) , 2006年建 , 板楼,22人关注 , 7天以前发布,近地铁,VR看装修,房本满五年,随时看房
朝阳公园 东风家园 东南三居室 满五年唯一,必看好房,东风家园 ,朝阳公园,650,"69,870元/平",3室1厅 , 93.03平米 , 东南 , 简装 , 高楼层(共18层) , 2000年建 , 塔楼,8人关注 , 5天以前发布,近地铁,VR看装修,房本满五年,随时看房
运河商务区 五河交汇处 满五唯一 南北通透三居,必看好房,京贸国际城 ,武夷花园,820,"59,676元/平",3室2厅 , 137.41平米 , 南 北 , 精装 , 36层 , 2011年建 , 板塔结合,1人关注 , 3天以前发布,,VR房源,房本满五年,随时看房
北二环东城区05年小区有电梯高楼层三居室双卫,必看好房,西营房 ,安定门,1090,"106,435元/平",3室1厅 , 102.41平米 , 北 西 西南 , 精装 , 高楼层(共19层) , 2006年建 , 塔楼,7人关注 , 6天以前发布,近地铁,VR看装修,房本满五年,随时看房
木樨园8号线 精装修南北通透三居室  交通方便,必看好房,南木樨园 ,木樨园,408,"59,476元/平",3室1厅 , 68.6平米 , 南 北 , 精装 , 中楼层(共5层) , 1986年建 , 板楼,2人关注 , 7天以前发布,近地铁,VR看装修,房本满两年,随时看房
卧龙小区眼镜户型三居双卫，满五年唯一，采光视野好,必看好房,卧龙小区 ,亚运村,899,"90,616元/平",3室2厅 , 99.21平米 , 南 北 , 简装 , 高楼层(共7层) , 1997年建 , 板楼,7人关注 , 2天以前发布,近地铁,VR房源,房本满五年,随时看房
三环边，正对小区花园三居室 有车位 满五唯一,必看好房,世纪星家园 ,宋家庄,800,"66,176元/平",3室1厅 , 120.89平米 , 东南 , 精装 , 中楼层(共29层) , 2003年建 , 板塔结合,4人关注 , 4天以前发布,近地铁,VR看装修,房本满五年,随时看房
长阳半岛怡和路6号院 3室2厅 南 北,必看好房,长阳半岛怡和路6号院 ,长阳,700,"50,040元/平",3室2厅 , 139.89平米 , 南 北 , 精装 , 高楼层(共9层) , 2015年建 , 板楼,6人关注 , 4天以前发布,近地铁,VR看装修,房本满五年,随时看房
怡景园精装修三居室，满五年唯一住房，小区有院子会所,必看好房,怡景园 ,朝阳门外,998,"84,419元/平",3室1厅 , 118.22平米 , 东 , 精装 , 低楼层(共14层) , 1997年建 , 塔楼,156人关注 , 4个月以前发布,近地铁,VR房源,房本满五年,
地铁口，精装，带电梯南北4居室,必看好房,紫南家园 ,欢乐谷,852,"51,540元/平",4室2厅 , 165.31平米 , 南 北 , 精装 , 高楼层(共6层) , 2001年建 , 板楼,1人关注 , 6天以前发布,近地铁,VR房源,房本满五年,随时看房
国瑞城中区高楼层把边儿户型三居室，敞亮，方正，好房,必看好房,国瑞城中区 ,崇文门,1190,"113,442元/平",3室2厅 , 104.9平米 , 西 北 南 , 精装 , 高楼层(共16层) , 2007年建 , 塔楼,10人关注 , 5天以前发布,近地铁,VR房源,房本满五年,随时看房
果园西小区 精装修两居室 诚意出售 看房方便,必看好房,果园西小区 ,果园,263,"41,165元/平",2室1厅 , 63.89平米 , 南 , 精装 , 中楼层(共7层) , 2002年建 , 板楼,132人关注 , 3个月以前发布,近地铁,VR看装修,房本满五年,
国瑞城中区 全南三居室 高楼层 费用少,必看好房,国瑞城中区 ,崇文门,1199,"126,718元/平",3室1厅 , 94.62平米 , 南 , 简装 , 中楼层(共11层) , 2006年建 , 塔楼,3人关注 , 6天以前发布,近地铁,VR看装修,房本满五年,随时看房
北亚花园 中间层 满五年唯一 单价低三居 南北通透,必看好房,北亚花园 ,北七家,360,"32,536元/平",3室2厅 , 110.65平米 , 南 北 , 精装 , 中楼层(共6层) , 2003年建 , 板楼,7人关注 , 6天以前发布,,VR看装修,房本满五年,
小区新，环境好，交通方便，观景效果好,必看好房,保利大都汇 ,万达,215,"43,251元/平",1室1厅 , 49.71平米 , 南 , 精装 , 低楼层(共22层) , 2018年建 , 塔楼,18人关注 , 7天以前发布,,VR房源,房本满两年,随时看房
临公园小区中间三居两卫商品房满五年唯一,必看好房,龙腾苑二区 ,回龙观,625,"47,135元/平",3室1厅 , 132.6平米 , 南 北 , 精装 , 高楼层(共6层) , 2003年建 , 板楼,6人关注 , 6天以前发布,近地铁,VR看装修,房本满五年,随时看房
瀛海庄园满五不唯一大面积精装修瀛海名居,必看好房,瀛海庄园 ,亦庄开发区其它,1380,"41,866元/平",5室2厅 , 329.63平米 , 北 南 , 精装 , 底层(共5层) , 2005年建 , 板楼,6人关注 , 19天以前发布,,VR房源,房本满五年,随时看房
高楼层，视野开阔，精致园林，贴心物业禧福汇国际社区,必看好房,禧福汇 ,大望路,1300,"91,997元/平",3室1厅 , 141.31平米 , 南 , 简装 , 高楼层(共20层) , 2009年建 , 板塔结合,18人关注 , 12天以前发布,近地铁,VR房源,房本满五年,随时看房
前进花园石门苑 满五唯一 南北通透 配套齐全 交通便利,必看好房,前进花园石门苑 ,顺义城,345,"35,461元/平",3室1厅 , 97.29平米 , 南 北 , 精装 , 顶层(共6层) , 2004年建 , 板楼,7人关注 , 14天以前发布,,VR房源,房本满五年,随时看房
满五唯一，四面朝南，采光充足，临河观景，动静分离,必看好房,珠江绿洲 ,双桥,768,"47,033元/平",3室2厅 , 163.29平米 , 南 , 精装 , 中楼层(共31层) , 2007年建 , 塔楼,29人关注 , 14天以前发布,近地铁,VR房源,房本满五年,随时看房
万寿路乙5号院，干部家属院，低价三居,必看好房,万寿路乙5号院 ,万寿路,1100,"102,108元/平",3室1厅 , 107.73平米 , 东 西 , 简装 , 中楼层(共12层) , 1998年建 , 板楼,15人关注 , 14天以前发布,,VR看装修,房本满五年,随时看房
风雅园一区中间楼层两居室，商五一报价，随时可以看,必看好房,风雅园一区 ,回龙观,508,"53,963元/平",2室1厅 , 94.14平米 , 南 北 , 简装 , 低楼层(共6层) , 2000年建 , 板楼,3人关注 , 10天以前发布,近地铁,VR房源,房本满五年,随时看房
高教新城天朗园 9层高的电梯洋房,必看好房,北街家园一区 ,沙河,648,"47,651元/平",3室2厅 , 135.99平米 , 南 北 , 精装 , 中楼层(共9层) , 2009年建 , 板楼,2人关注 , 11天以前发布,,VR看装修,房本满五年,随时看房
清河 君安家园东区 正规三居室 中间楼层 业主诚售,必看好房,君安家园东区 ,清河,890,"61,909元/平",3室1厅 , 143.76平米 , 西 南 北 , 简装 , 中楼层(共19层) , 2005年建 , 塔楼,16人关注 , 10天以前发布,,VR看装修,房本满五年,随时看房
丽水嘉园 2室2厅 东北,必看好房,丽水嘉园 ,朝阳公园,815,"92,478元/平",2室2厅 , 88.13平米 , 东北 , 简装 , 中楼层(共23层) , 2009年建 , 塔楼,7人关注 , 10天以前发布,近地铁,VR房源,房本满两年,随时看房
密西花园小区安静舒适，生活便利,必看好房,密西花园一期 ,果园街道,190,"15,703元/平",3室2厅 , 121平米 , 南 北 , 简装 , 6层 , 2005年建 , 板楼,7人关注 , 12天以前发布,,VR看装修,房本满五年,随时看房
南北通透三居室 中楼层 户型方正,必看好房,海子角西里 ,观音寺,372,"29,931元/平",3室2厅 , 124.29平米 , 南 北 , 精装 , 中楼层(共6层) , 2000年建 , 板楼,0人关注 , 7天以前发布,,VR看装修,房本满五年,随时看房
北礼士路全明三居室，1990年有电梯 随时看房签约,必看好房,北礼士路 ,阜成门,1010,"129,988元/平",3室1厅 , 77.7平米 , 东 西 , 精装 , 中楼层(共16层) , 1990年建 , 板楼,9人关注 , 14天以前发布,近地铁,VR看装修,房本满两年,随时看房
鸿坤理想城大满贯 人车分流 封闭式管理 正规一居室,必看好房,鸿坤理想城大满贯 ,西红门,308,"48,307元/平",1室1厅 , 63.76平米 , 西北 , 精装 , 高楼层(共18层) , 2011年建 , 塔楼,49人关注 , 1个月以前发布,,VR房源,房本满五年,
望京新城无遮挡2居，30万装修可贷款，看房随时,必看好房,望京新城 ,望京,720,"78,458元/平",2室1厅 , 91.77平米 , 西南 , 精装 , 中楼层(共30层) , 1997年建 , 塔楼,10人关注 , 12天以前发布,近地铁,VR看装修,房本满两年,随时看房
慧谷金色家园，南北双通透，前后看花园,必看好房,慧谷金色家园 ,望京,899,"90,818元/平",2室2厅 , 98.99平米 , 南 北 , 精装 , 顶层(共15层) , 2004年建 , 板楼,21人关注 , 13天以前发布,,VR房源,房本满五年,随时看房
铁道部央产房，户型好，管理好，视野好，交易费用低,必看好房,月坛北街甲1号院 ,月坛,1830,"145,701元/平",4室1厅 , 125.6平米 , 东 南 西 北 , 简装 , 高楼层(共21层) , 1989年建 , 塔楼,19人关注 , 7天以前发布,近地铁,VR看装修,房本满五年,
西南二环内 牛街商圈 国资委宿舍 电梯直达 诚心出售,必看好房,南线阁37号院 ,牛街,1400,"108,721元/平",3室1厅 , 128.77平米 , 西南 , 精装 , 低楼层(共24层) , 1999年建 , 板塔结合,6人关注 , 9天以前发布,近地铁,VR房源,房本满两年,
上跃户型，复式结构四居室，满五年唯一,必看好房,美然动力A2区 ,定福庄,658,"46,410元/平",4室1厅 , 141.78平米 , 南 北 , 简装 , 高楼层(共10层) , 2003年建 , 板楼,12人关注 , 8天以前发布,近地铁,VR房源,房本满五年,
近地铁  三面宽朝南  满五年  诚心卖,必看好房,银地家园 ,花乡,574,"49,002元/平",3室1厅 , 117.14平米 , 东南 , 简装 , 低楼层(共12层) , 2004年建 , 板楼,3人关注 , 6天以前发布,,VR看装修,房本满五年,
银地家园南北三居双卫格局不临街满五年 一梯两户,必看好房,银地家园 ,花乡,620,"52,010元/平",3室1厅 , 119.21平米 , 南 北 , 简装 , 中楼层(共14层) , 2005年建 , 板楼,5人关注 , 7天以前发布,,VR看装修,房本满五年,
怡然家园6号院 南北通透 三居室,必看好房,怡然家园6号院 ,角门,750,"59,709元/平",3室1厅 , 125.61平米 , 南 北 , 简装 , 11层 , 2005年建 , 板楼,11人关注 , 5天以前发布,,VR看装修,房本满五年,
福怡苑南北通透三居上下两层满五年唯一商品房,必看好房,福怡苑 ,定福庄,435,"44,999元/平",3室2厅 , 96.67平米 , 南 北 , 精装 , 高楼层(共7层) , 1998年建 , 板楼,14人关注 , 6天以前发布,近地铁,VR房源,房本满五年,
金地家园 3室2厅 南 北,必看好房,金地家园 ,东关,589,"40,088元/平",3室2厅 , 146.93平米 , 南 北 , 精装 , 低楼层(共9层) , 2008年建 , 板楼,0人关注 , 3天以前发布,近地铁,VR看装修,房本满五年,
凯旋城 豪+华装修大两居 满五唯一 人车分流东南,必看好房,凯旋城 ,亚运村小营,1168,"107,432元/平",2室1厅 , 108.72平米 , 东南 , 精装 , 低楼层(共23层) , 2004年建 , 板塔结合,1人关注 , 6天以前发布,近地铁,VR房源,房本满五年,
商品房满五年，一层带院，业主自住，环境好,必看好房,龙泽苑西区 ,回龙观,819,"58,259元/平",4室1厅 , 140.58平米 , 南 北 , 精装 , 底层(共7层) , 2001年建 , 板楼,13人关注 , 8天以前发布,近地铁,VR房源,房本满五年,
松榆里，南北通透两居，南北有阳台,必看好房,松榆里 ,潘家园,370,"67,630元/平",2室1厅 , 54.71平米 , 南 北 , 简装 , 底层(共6层) , 1991年建 , 板楼,6人关注 , 7天以前发布,近地铁,VR看装修,房本满五年,
银海星月正规三居室 南北通透格局好,必看好房,银海星月 ,卢沟桥,659,"49,438元/平",3室1厅 , 133.3平米 , 南 北 , 精装 , 中楼层(共6层) , 2006年建 , 板楼,4人关注 , 6天以前发布,,VR房源,房本满两年,
云趣园三区+采光大三居+商五唯一+门口在建地铁13号线,必看好房,云趣园三区 ,回龙观,530,"45,940元/平",3室1厅 , 115.37平米 , 南 北 , 简装 , 顶层(共6层) , 2000年建 , 板楼,3人关注 , 7天以前发布,,VR看装修,房本满五年,
观澜国际双卧室朝南三居，独立餐厅，带保姆间,必看好房,观澜国际 ,四季青,1850,"115,930元/平",3室2厅 , 159.58平米 , 南 北 , 简装 , 17层 , 2003年建 , 板楼,3人关注 , 2天以前发布,,VR房源,房本满五年,
丹青府东南北采光，全明格局，满五唯一，2019年精装修,必看好房,丹青府 ,田村,1295,"86,276元/平",3室2厅 , 150.1平米 , 东 南 西 北 , 其他 , 高楼层(共12层) , 2009年建 , 板楼,6人关注 , 6天以前发布,近地铁,VR房源,房本满五年,
金隅翡丽铂爵郡 3室2厅 南 北,必看好房,金隅翡丽铂爵郡 ,西三旗,820,"150,764元/平",3室2厅 , 54.39平米 , 南 北 , 精装 , 中楼层(共6层) , 2014年建 , 板楼,3人关注 , 7天以前发布,,VR房源,房本满五年,
丰管路甲52号院 板楼南北通透四居室  近地铁公园,必看好房,丰管路甲52号院 ,丽泽,990,"65,611元/平",4室2厅 , 150.89平米 , 南 北 , 简装 , 低楼层(共16层) , 2013年建 , 板楼,9人关注 , 3天以前发布,近地铁,VR看装修,房本满两年,
阜成门大三居，有电梯，随时签约,必看好房,北营房东里 ,阜成门,1250,"147,059元/平",3室1厅 , 85平米 , 东南 南 北 , 简装 , 中楼层(共20层) , 1992年建 , 塔楼,11人关注 , 6天以前发布,近地铁,VR房源,房本满五年,
万科城市花园，复式带院子， 精装修，楼栋位置好。,必看好房,万科城市花园 ,后沙峪,730,"42,302元/平",3室2厅 , 172.57平米 , 南 北 , 精装 , 4层 , 1998年建 , 板楼,5人关注 , 3天以前发布,,VR房源,房本满五年,
楼层好 视野宽阔 交通便利 配套齐全 无土地出让金,必看好房,富贵园二区 ,东花市,740,"96,783元/平",2室1厅 , 76.46平米 , 东 南 , 简装 , 高楼层(共18层) , 2003年建 , 塔楼,6人关注 , 2天以前发布,近地铁,VR看装修,房本满两年,
丽园B区，满五年唯一，正规三居室，双卫带电梯,必看好房,丽园B区 ,枣园,620,"49,688元/平",3室1厅 , 124.78平米 , 南 , 精装 , 低楼层(共11层) , 2005年建 , 板楼,8人关注 , 5天以前发布,近地铁,VR房源,房本满五年,
美丽经典园 2008年花园洋房  复式结构  前后不临街,必看好房,美丽经典园 ,四季青,1920,"178,389元/平",3室3厅 , 107.63平米 , 南 北 , 精装 , 高楼层(共7层) , 2007年建 , 板楼,6人关注 , 7天以前发布,,VR房源,房本满五年,
别墅区的洋房一层明厨明卫精装南北通透三居,必看好房,王府公寓三区 ,北七家,558,"33,128元/平",3室2厅 , 168.44平米 , 南 北 , 精装 , 5层 , 1995年建 , 板楼,5人关注 , 3天以前发布,,VR看装修,房本满两年,
慧时欣园二期 西南向 精装修 小区门口地铁,必看好房,慧时欣园二期 ,木樨园,628,"61,365元/平",2室2厅 , 102.34平米 , 西南 , 精装 , 24层 , 2004年建 , 塔楼,4人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,
东南二环左安门外方庄东芳城东里,必看好房,芳城东里 ,方庄,593,"59,283元/平",3室1厅 , 100.03平米 , 南 北 , 精装 , 中楼层(共7层) , 1995年建 , 板楼,9人关注 , 12天以前发布,近地铁,VR房源,房本满五年,
百旺茉莉园 洋房三居 万科物业 品质小区 周围配套齐全,必看好房,百旺茉莉园 ,西北旺,1360,"95,775元/平",3室2厅 , 142平米 , 南 北 , 简装 , 中楼层(共5层) , 2006年建 , 板楼,6人关注 , 8天以前发布,近地铁,VR房源,房本满五年,随时看房
西大望路甲27号院+满五年唯一+中间楼层+看房随时,必看好房,西大望路甲27号院 ,北工大,379,"62,884元/平",3室1厅 , 60.27平米 , 东北 , 简装 , 中楼层(共6层) , 1988年建 , 板楼,6人关注 , 6天以前发布,,VR看装修,房本满五年,随时看房
兴隆都市馨园 南向一居 诚心出售 满五唯一,必看好房,兴隆都市馨园 ,崇文门,596,"112,369元/平",1室1厅 , 53.04平米 , 南 , 简装 , 中楼层(共6层) , 2003年建 , 板塔结合,4人关注 , 7天以前发布,近地铁,VR看装修,房本满五年,随时看房
门头馨村北二区两居 低楼层 满两年 南北朝向随时可看,必看好房,门头馨村北二区 ,西山,535,"58,008元/平",2室1厅 , 92.23平米 , 南 北 , 简装 , 底层(共4层) , 2009年建 , 板楼,2人关注 , 7天以前发布,,VR看装修,房本满两年,随时看房
京棉新城A1区 2室1厅 西北,必看好房,京棉新城A1区 ,四惠,520,"57,682元/平",2室1厅 , 90.15平米 , 西北 , 简装 , 中楼层(共14层) , 2012年建 , 板塔结合,4人关注 , 7天以前发布,,VR看装修,房本满两年,随时看房
安化南里 满五年 家庭只有一套住宅,必看好房,安化南里 ,广渠门,730,"104,242元/平",2室1厅 , 70.03平米 , 东 , 精装 , 低楼层(共16层) , 2008年建 , 塔楼,7人关注 , 5天以前发布,,VR房源,房本满两年,随时看房
新龙城小区中间位置，满五年唯一，无遮挡，采光充足,必看好房,新龙城 ,回龙观,580,"57,683元/平",2室1厅 , 100.55平米 , 南 北 , 简装 , 低楼层(共20层) , 2007年建 , 板楼,9人关注 , 7天以前发布,近地铁,VR看装修,房本满五年,随时看房
志新村小区  中间层两居室 满五年唯一商品房 诚心出售,必看好房,志新村 ,二里庄,708,"109,768元/平",2室1厅 , 64.5平米 , 南 西 北 , 简装 , 6层 , 1992年建 , 板楼,3人关注 , 8天以前发布,,VR看装修,房本满五年,随时看房
楼层好，采光好，交通便利，购物方便，配套齐全,必看好房,东木樨园 ,木樨园,319,"50,079元/平",2室1厅 , 63.7平米 , 东北 , 精装 , 中楼层(共9层) , 1995年建 , 板塔结合,15人关注 , 6天以前发布,近地铁,VR房源,房本满两年,随时看房
龙回苑小区，中间楼层，采光好，视野开阔。,必看好房,龙回苑 ,回龙观,555,"47,640元/平",3室1厅 , 116.5平米 , 南 北 , 简装 , 中楼层(共6层) , 2004年建 , 板楼,1人关注 , 9天以前发布,近地铁,VR看装修,房本满五年,随时看房
太小新上！复兴路46号院电梯两居室中高层，满五唯一！,必看好房,复兴路46号院 ,玉泉路,800,"127,960元/平",2室1厅 , 62.52平米 , 南 北 , 精装 , 16层 , 1992年建 , 板塔结合,2人关注 , 6天以前发布,近地铁,VR看装修,房本满五年,随时看房
南北通透，明厨明卫，中间楼层，10年社区，有社区医院,必看好房,横一条甲18号院 ,宋家庄,542,"61,126元/平",2室2厅 , 88.67平米 , 南 北 , 其他 , 中楼层(共6层) , 2010年建 , 板楼,4人关注 , 8天以前发布,,VR看装修,房本满两年,随时看房
四环内，满五唯一，双南两居室。得.房.率高，无浪费,必看好房,延静东里 ,甜水园,330,"61,350元/平",2室1厅 , 53.79平米 , 南 , 简装 , 中楼层(共6层) , 1984年建 , 板楼,16人关注 , 6天以前发布,近地铁,VR看装修,房本满五年,随时看房
北四环内 2000年社区 满五年唯一 随时可看,必看好房,惠中园 ,惠新西街,829,"87,549元/平",2室1厅 , 94.69平米 , 东南 , 简装 , 中楼层(共24层) , 1999年建 , 塔楼,2人关注 , 7天以前发布,近地铁,VR看装修,房本满五年,随时看房
浪漫首城 观西山、国贸 精装两居,必看好房,首城国际B区 ,双井,990,"110,702元/平",2室1厅 , 89.43平米 , 南 西 北 , 精装 , 高楼层(共28层) , 2012年建 , 板楼,6人关注 , 8天以前发布,近地铁,VR房源,房本满五年,随时看房
南三环边，精装一居，满五年，精装修,必看好房,嘉园一里 ,马家堡,325,"68,769元/平",1室1厅 , 47.26平米 , 东 , 精装 , 低楼层(共20层) , 1998年建 , 塔楼,3人关注 , 7天以前发布,近地铁,VR看装修,房本满五年,随时看房
西城商品房2居室满五唯一随时看房,必看好房,远见名苑 ,广安门,836,"110,247元/平",2室1厅 , 75.83平米 , 西南 , 简装 , 中楼层(共26层) , 2004年建 , 塔楼,14人关注 , 6天以前发布,近地铁,VR看装修,房本满五年,随时看房
