标题,标签,小区,地段,价格(万),单价,户型,面积,朝向,装修,楼层,年份,形式,关注人数,分布日期,交通,VR,房本,看房时期
南北通透双卫，高楼层，近地铁，近奥莱，近公园,必看好房,芭蕾雨悦都南区 ,长阳,495,"41,001元/平",3室1厅 , 120.73平米 , 南 北 , 精装 , 9层 , 2013年建 , 板楼,11人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,随时看房
此房南北通透，全明格局，业主自住装修，诚心出售。,必看好房,住总万科橙 ,天宫院,426,"45,669元/平",3室2厅 , 93.28平米 , 南 北 , 简装 , 低楼层(共28层) , 2015年建 , 板楼,9人关注 , 12天以前发布,近地铁,VR房源,房本满五年,随时看房
西三环北路23号院中间楼层，南北通透，采光好,必看好房,西三环北路23号院 ,厂洼,660,"116,526元/平",2室1厅 , 56.64平米 , 南 北 , 精装 , 中楼层(共6层) , 1988年建 , 板楼,8人关注 , 11天以前发布,,VR看装修,房本满五年,随时看房
东三环双井 户型方正，明厨明卫，带阳台，带储藏间,必看好房,黄木庄3号院 ,双井,415,"62,822元/平",2室1厅 , 66.06平米 , 东 北 , 简装 , 高楼层(共18层) , 1991年建 , 塔楼,3人关注 , 13天以前发布,,VR房源,房本满五年,随时看房
大羊坊路79号 东南向 光线好 无遮挡,必看好房,大羊坊路79号 ,十里河,398,"43,093元/平",3室1厅 , 92.36平米 , 东南 , 简装 , 中楼层(共6层) , 1998年建 , 板楼,6人关注 , 12天以前发布,近地铁,VR看装修,房本满五年,随时看房
新景家园商品房 南北通透不临街 一梯三户 满五唯一,必看好房,新景家园东区 ,崇文门,940,"124,405元/平",2室1厅 , 75.56平米 , 南 北 , 精装 , 低楼层(共12层) , 2005年建 , 板楼,27人关注 , 16天以前发布,,VR看装修,房本满五年,随时看房
松榆里  精装修  组合贷25年  有电梯,必看好房,松榆里 ,潘家园,315,"68,598元/平",2室1厅 , 45.92平米 , 西南 , 精装 , 高楼层(共19层) , 1993年建 , 塔楼,15人关注 , 16天以前发布,近地铁,VR看装修,房本满五年,随时看房
弘善家园，全南一居室，精装修，随时签约,必看好房,弘善家园 ,潘家园,399,"66,790元/平",1室1厅 , 59.74平米 , 南 , 精装 , 中楼层(共28层) , 2009年建 , 塔楼,10人关注 , 11天以前发布,近地铁,VR看装修,房本满两年,随时看房
南庭新苑北区 南向两居 高层采光好  婚房装修,必看好房,南庭新苑北区 ,新宫,390,"66,125元/平",2室1厅 , 58.98平米 , 南 , 精装 , 高楼层(共16层) , 2010年建 , 板塔结合,43人关注 , 13天以前发布,近地铁,VR看装修,房本满五年,随时看房
德外人定湖西里    公园边两居室,必看好房,人定湖西里 ,六铺炕,850,"125,369元/平",2室1厅 , 67.8平米 , 东南 , 其他 , 中楼层(共6层) , 1980年建 , 板楼,12人关注 , 11天以前发布,,VR房源,房本满五年,随时看房
天鑫家园，双卧朝南，精装三居，配套齐全，交通方便,必看好房,天鑫家园 ,霍营,495,"50,692元/平",3室1厅 , 97.65平米 , 南 北 , 精装 , 低楼层(共6层) , 2002年建 , 板楼,3人关注 , 13天以前发布,,VR看装修,房本满五年,随时看房
优质房源推荐石坊院小区，二层南北通透2居室,必看好房,石坊院 ,鼓楼大街,249,"39,924元/平",2室1厅 , 62.37平米 , 南 北 , 简装 , 低楼层(共6层) , 1992年建 , 板楼,12人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,随时看房
急售好房   精装修   纯南两居    户型方正  电梯房,必看好房,富力惠兰美居 ,潞苑,249,"37,254元/平",2室1厅 , 66.84平米 , 南 , 精装 , 低楼层(共28层) , 2016年建 , 暂无数据,9人关注 , 13天以前发布,,VR看装修,房本满五年,随时看房
海棠湾一期 全向两居室，满五年唯一，不临街不把边,必看好房,海棠湾一期 ,临河里,439,"47,947元/平",2室2厅 , 91.56平米 , 南 , 简装 , 中楼层(共26层) , 2011年建 , 板塔结合,7人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,随时看房
高楼层 采光好 婚房装修 拎包入住 两室两厅户型好,必看好房,东土城路9号院 ,和平里,668,"90,872元/平",2室2厅 , 73.51平米 , 东南 , 精装 , 高楼层(共22层) , 1999年建 , 板塔结合,3人关注 , 12天以前发布,近地铁,VR看装修,房本满五年,随时看房
西城 什刹海，小石桥胡同11号院,必看好房,小石桥胡同11号院 ,六铺炕,758,"169,956元/平",2室1厅 , 44.6平米 , 东 , 精装 , 顶层(共4层) , 1976年建 , 板楼,2人关注 , 7天以前发布,近地铁,VR看装修,房本满五年,随时看房
满五年唯一住房 地铁口700米 中楼层,必看好房,空港吉祥花园 ,后沙峪,376,"53,585元/平",2室1厅 , 70.17平米 , 南 , 简装 , 中楼层(共11层) , 2009年建 , 板塔结合,12人关注 , 15天以前发布,近地铁,VR看装修,房本满五年,随时看房
南北通透格局好 红莲北里经典两居室,必看好房,红莲北里 ,马连道,645,"113,517元/平",2室1厅 , 56.82平米 , 南 北 , 简装 , 低楼层(共6层) , 1983年建 , 板楼,12人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,随时看房
京汉旭城中高楼层 南北通透  一梯两户 明厨明卫,必看好房,京汉旭城 ,鲁谷,609,"70,235元/平",2室1厅 , 86.71平米 , 南 北 , 简装 , 高楼层(共15层) , 2003年建 , 板楼,25人关注 , 13天以前发布,,VR看装修,房本满五年,随时看房
金隅万科城二期 满五唯一 采光好 视野开阔 随时看房,必看好房,金隅万科城二期 ,鼓楼大街,399,"47,416元/平",2室1厅 , 84.15平米 , 东 西 , 精装 , 高楼层(共26层) , 2012年建 , 板塔结合,4人关注 , 16天以前发布,,VR看装修,房本满五年,随时看房
万科天空之城 南北通透 婚房装修 好楼层 拎包入住,必看好房,龙兴园北区 ,回龙观,475,"55,889元/平",2室2厅 , 84.99平米 , 南 北 , 精装 , 中楼层(共6层) , 2000年建 , 板楼,8人关注 , 12天以前发布,,VR看装修,房本满五年,随时看房
瀛海家园融园D区、边户南北通透电梯两居室。,必看好房,瀛海家园融园D区 ,瀛海,325,"37,928元/平",2室1厅 , 85.69平米 , 西 南 北 , 简装 , 低楼层(共15层) , 2014年建 , 板楼,6人关注 , 12天以前发布,,VR房源,房本满两年,随时看房
方恒东景 2012年新社区 近地铁 有电梯 35%绿化,必看好房,方恒东景 ,临河里,389,"41,837元/平",3室1厅 , 92.98平米 , 南 北 , 精装 , 高楼层(共29层) , 2013年建 , 板塔结合,3人关注 , 10天以前发布,近地铁,VR看装修,房本满五年,随时看房
【首付110万】【四环小三居】【着急出售】随时看房,必看好房,看丹路4号院 ,科技园区,285,"46,425元/平",3室1厅 , 61.39平米 , 南 北 , 简装 , 顶层(共6层) , 1990年建 , 板楼,10人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,随时看房
玉林东里二区双南向二居室，户型方正，采光好,必看好房,玉林东里二区 ,右安门外,428,"64,869元/平",2室1厅 , 65.98平米 , 东南 , 简装 , 低楼层(共18层) , 1993年建 , 塔楼,3人关注 , 8天以前发布,近地铁,VR房源,房本满五年,随时看房
五里店南里低楼层，带明厅小三居。,必看好房,五里店南里 ,五里店,299,"43,529元/平",3室1厅 , 68.69平米 , 东 南 北 , 简装 , 低楼层(共6层) , 1990年建 , 板楼,7人关注 , 12天以前发布,,VR看装修,房本满两年,随时看房
劲松南路    南向一居室    大客厅    采光好,必看好房,劲松南路 ,劲松,335,"66,311元/平",1室1厅 , 50.52平米 , 南 , 简装 , 低楼层(共18层) , 1995年建 , 塔楼,21人关注 , 13天以前发布,近地铁,VR看装修,房本满五年,随时看房
方庄南路18号院 东南正规两居室,必看好房,方庄南路18号院 ,成寿寺,436,"50,586元/平",2室1厅 , 86.19平米 , 东南 , 简装 , 低楼层(共18层) , 2012年建 , 塔楼,24人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,随时看房
六里屯北里近地铁全明格局三居！中间楼层不临街！,必看好房,六里屯北里 ,甜水园,448,"71,992元/平",3室1厅 , 62.23平米 , 东 南 北 , 简装 , 高楼层(共6层) , 1985年建 , 板楼,12人关注 , 11天以前发布,近地铁,VR看装修,房本满两年,随时看房
马连道中里三区，朝南三室一厅，满五年房改房，没遮挡,必看好房,马连道中里 ,马连道,880,"114,020元/平",3室1厅 , 77.18平米 , 南 , 简装 , 高楼层(共18层) , 1995年建 , 塔楼,40人关注 , 15天以前发布,,VR房源,房本满五年,随时看房
视野开阔，采光好风景房一览无余，俯瞰运河，电梯房,必看好房,合生滨江帝景一期 ,玉桥,575,"51,280元/平",3室1厅 , 112.13平米 , 南 , 精装 , 高楼层(共27层) , 2014年建 , 板楼,8人关注 , 12天以前发布,,VR看装修,房本满五年,随时看房
兴海家园星苑     南北通透三居室,必看好房,兴海家园星苑 ,西红门,495,"45,124元/平",3室1厅 , 109.7平米 , 南 北 , 精装 , 中楼层(共6层) , 2004年建 , 板楼,14人关注 , 13天以前发布,近地铁,VR看装修,房本满两年,随时看房
嘉铭桐城C区 东南两居室 满五年唯一 诚意出售,必看好房,嘉铭桐城C区 ,亚运村小营,939,"85,194元/平",2室2厅 , 110.22平米 , 东南 , 精装 , 中楼层(共28层) , 2004年建 , 塔楼,14人关注 , 10天以前发布,近地铁,VR房源,房本满五年,随时看房
滨河西里南区97年的房子不把边不临街4层满五唯一,必看好房,滨河西里南区 ,枣园,243,"40,494元/平",2室1厅 , 60.01平米 , 南 北 , 简装 , 中楼层(共6层) , 1997年建 , 板楼,37人关注 , 15天以前发布,近地铁,VR房源,房本满五年,随时看房
满五年唯一，南向2居，高层观景，自住精装，诚意出售,必看好房,北京新天地一期 ,常营,585,"58,425元/平",2室1厅 , 100.13平米 , 南 , 精装 , 高楼层(共28层) , 2004年建 , 板塔结合,6人关注 , 8天以前发布,近地铁,VR看装修,房本满五年,随时看房
力源里 正规两居 满五年 楼层高 视野棒 采光好,必看好房,力源里 ,四惠,460,"70,813元/平",2室2厅 , 64.96平米 , 西南 , 简装 , 高楼层(共24层) , 1996年建 , 塔楼,9人关注 , 12天以前发布,近地铁,VR看装修,房本满五年,随时看房
南苑北里三区，东西通透三居，诚心出售，随时看房,必看好房,南苑北里三区 ,和义,273,"35,497元/平",3室1厅 , 76.91平米 , 东 西 , 简装 , 顶层(共6层) , 1995年建 , 板楼,16人关注 , 15天以前发布,,VR房源,房本满两年,随时看房
劲松磨房北里10号线14号线 明厅两居 南北通透 满五年,必看好房,磨房北里 ,北工大,397,"65,936元/平",2室1厅 , 60.21平米 , 北 南 , 简装 , 中楼层(共6层) , 1994年建 , 板楼,16人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,随时看房
对小区花园视野好，采光好，户型方正，业主诚意出售。,必看好房,国美第一城2号院 ,朝青,650,"74,049元/平",2室1厅 , 87.78平米 , 东 , 简装 , 27层 , 2006年建 , 板塔结合,12人关注 , 14天以前发布,,VR看装修,房本满五年,随时看房
石景嘉园东南一居  正规一室一厅  满五年唯一  精装修,必看好房,石景嘉园 ,八角,208,"38,590元/平",1室1厅 , 53.9平米 , 东南 , 精装 , 低楼层(共21层) , 2010年建 , 塔楼,18人关注 , 14天以前发布,,VR看装修,房本满五年,随时看房
富力盛悦居 南北通透三居室 一梯两户 电梯洋房,必看好房,富力盛悦居 ,旧宫,755,"77,900元/平",3室2厅 , 96.92平米 , 南 北 , 精装 , 顶层(共9层) , 2013年建 , 板楼,7人关注 , 10天以前发布,近地铁,VR看装修,房本满五年,随时看房
恒基中心 2室1厅 东,必看好房,恒基中心 ,建国门内,790,"77,482元/平",2室1厅 , 101.96平米 , 东 , 精装 , 低楼层(共23层) , 1997年建 , 板塔结合,7人关注 , 9天以前发布,近地铁,VR房源,房本满两年,随时看房
丰台区 蒲安西里 中间楼层 精装修 有正规客厅户型,必看好房,蒲安西里 ,蒲黄榆,382,"58,179元/平",2室1厅 , 65.66平米 , 东 北 , 简装 , 中楼层(共6层) , 1995年建 , 板楼,16人关注 , 16天以前发布,近地铁,VR房源,房本满五年,随时看房
人车分流 绿化30% 电梯洋房一梯二户,必看好房,首开香溪郡 ,通州其它,378,"36,871元/平",3室1厅 , 102.52平米 , 南 北 , 精装 , 低楼层(共8层) , 2015年建 , 板楼,4人关注 , 15天以前发布,,VR看装修,房本满两年,随时看房
店长推荐，中高楼层电梯房，交通便利，配套齐全,必看好房,刘家窑东里 ,蒲黄榆,450,"55,433元/平",3室1厅 , 81.18平米 , 东 北 , 简装 , 中楼层(共18层) , 1990年建 , 塔楼,11人关注 , 16天以前发布,近地铁,VR房源,房本满五年,随时看房
积水潭地铁300米 中间层两居  看房方便诚意出售,必看好房,新外大街31号院 ,小西天,452,"99,780元/平",2室0厅 , 45.3平米 , 东 西 , 毛坯 , 中楼层(共6层) , 1986年建 , 板楼,6人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,随时看房
正规一室一厅，窗外对着小区里边安静舒适,必看好房,远洋山水 ,鲁谷,519,"73,357元/平",1室1厅 , 70.75平米 , 东 , 精装 , 25层 , 2005年建 , 塔楼,9人关注 , 17天以前发布,近地铁,VR看装修,房本满五年,随时看房
小区楼龄新，人车分流车位充足，正规两居室，拎包入住,必看好房,庚坊国际 ,北太平庄,550,"105,324元/平",2室1厅 , 52.22平米 , 东 , 简装 , 高楼层(共16层) , 2005年建 , 塔楼,7人关注 , 7天以前发布,近地铁,VR看装修,房本满五年,随时看房
海子角南里 满五唯一 楼层好 视野佳,必看好房,海子角南里 ,观音寺,226,"28,343元/平",2室2厅 , 79.74平米 , 南 , 精装 , 高楼层(共6层) , 2001年建 , 板楼,6人关注 , 11天以前发布,,VR房源,房本满五年,随时看房
育新花园北里，房子楼层好产权清晰。,必看好房,育新花园北里 ,大兴新机场洋房别墅区,188,"22,118元/平",2室2厅 , 85平米 , 南 北 , 精装 , 18层 , 2014年建 , 板楼,4人关注 , 13天以前发布,,VR看装修,房本满两年,随时看房
裕龙花园一区 南北通透 带阳台，西边窗，满五唯一,必看好房,裕龙一区 ,顺义城,390,"36,800元/平",3室1厅 , 105.98平米 , 南 北 , 精装 , 低楼层(共6层) , 1998年建 , 板楼,5人关注 , 14天以前发布,,VR看装修,房本满五年,随时看房
近地铁经典正规一居室，商圈配套齐全，业主靠谱出售,必看好房,金隅丽景园 ,常营,226,"44,253元/平",1室1厅 , 51.07平米 , 西 , 简装 , 22层 , 2010年建 , 塔楼,21人关注 , 15天以前发布,近地铁,VR看装修,房本满五年,随时看房
定福家园3号院 3室1厅 南 北,必看好房,定福家园3号院 ,定福庄,560,"54,967元/平",3室1厅 , 101.88平米 , 南 北 , 其他 , 低楼层(共12层) , 2006年建 , 板楼,9人关注 , 11天以前发布,近地铁,VR看装修,房本满五年,随时看房
东直门外柳芳南里正规大一居室，采光好，视野好,必看好房,柳芳南里 ,国展,420,"83,799元/平",1室1厅 , 50.12平米 , 南 , 简装 , 中楼层(共18层) , 1990年建 , 塔楼,5人关注 , 10天以前发布,,VR看装修,房本满五年,随时看房
燕山水泥厂 2室2厅 南 北,必看好房,燕山水泥厂 ,石景山其它,263,"37,782元/平",2室2厅 , 69.61平米 , 南 北 , 简装 , 中楼层(共4层) , 2000年建 , 板楼,6人关注 , 7天以前发布,,VR房源,房本满五年,随时看房
六营门，低楼层，南北两居室，精装修,必看好房,六营门小区 ,万源,370,"60,656元/平",2室1厅 , 61平米 , 南 北 , 精装 , 低楼层(共6层) , 1985年建 , 板楼,8人关注 , 9天以前发布,近地铁,VR看装修,房本满两年,随时看房
十佳物业2层两居南北通透采光视野好适合有老人家庭,必看好房,望都新地 ,北七家,378,"42,075元/平",2室1厅 , 89.84平米 , 南 北 , 简装 , 低楼层(共6层) , 2009年建 , 板楼,8人关注 , 12天以前发布,,VR房源,房本满五年,随时看房
芳源里  南北通透  电梯两居 全明户型,必看好房,芳源里 ,旧宫,440,"45,259元/平",2室2厅 , 97.22平米 , 南 北 , 简装 , 顶层(共6层) , 2010年建 , 板楼,14人关注 , 9天以前发布,近地铁,VR房源,房本满两年,随时看房
五矿家属楼，中间层，费用少，交通便利,必看好房,西三环北路23号院 ,厂洼,640,"117,432元/平",2室1厅 , 54.5平米 , 南 , 精装 , 中楼层(共6层) , 1988年建 , 板楼,7人关注 , 11天以前发布,,VR看装修,房本满五年,随时看房
南中轴 康泽园 2000年商品房 满五唯一 明厅,必看好房,康泽园 ,赵公口,523,"51,381元/平",2室2厅 , 101.79平米 , 西南 , 简装 , 20层 , 2000年建 , 塔楼,8人关注 , 14天以前发布,近地铁,VR房源,房本满五年,随时看房
住欣家园东区 正规两居室 草房地铁站,必看好房,住欣家园 ,常营,300,"42,487元/平",2室1厅 , 70.61平米 , 西 , 精装 , 低楼层(共21层) , 2010年建 , 塔楼,37人关注 , 15天以前发布,近地铁,VR房源,房本满五年,随时看房
此房满五唯一，装修花了25万左右，集中供暖，近地铁,必看好房,鸿顺园西区 ,良乡,279,"31,073元/平",2室2厅 , 89.79平米 , 南 北 , 精装 , 底层(共6层) , 2003年建 , 板楼,14人关注 , 13天以前发布,近地铁,VR房源,房本满五年,随时看房
玺源台 2室1厅 西,必看好房,玺源台 ,广安门,826,"130,470元/平",2室1厅 , 63.31平米 , 西 , 精装 , 中楼层(共15层) , 2015年建 , 板塔结合,3人关注 , 12天以前发布,,VR房源,房本满两年,随时看房
小关北里新上，南北通透，满五唯一，精装修,必看好房,小关北里 ,惠新西街,550,"86,492元/平",2室1厅 , 63.59平米 , 南 北 , 精装 , 中楼层(共6层) , 1993年建 , 板楼,5人关注 , 11天以前发布,近地铁,VR看装修,房本满五年,随时看房
无遮挡 采光好 精装修 全南向 格局方正视野好,必看好房,北京经开壹中心 ,亦庄,328,"73,991元/平",1室0厅 , 44.33平米 , 南 , 简装 , 中楼层(共11层) , 2016年建 , 板楼,3人关注 , 5天以前发布,近地铁,VR看装修,房本满两年,随时看房
六里屯北里近地铁全明格局三居！中间楼层不临街！,必看好房,六里屯北里 ,甜水园,448,"71,992元/平",3室1厅 , 62.23平米 , 东 南 北 , 简装 , 高楼层(共6层) , 1985年建 , 板楼,13人关注 , 11天以前发布,近地铁,VR看装修,房本满两年,随时看房
青年汇佳园二期 业主诚意出售 户型方正,必看好房,青年汇佳园 ,朝青,576,"87,672元/平",1室1厅 , 65.7平米 , 南 西北 , 精装 , 中楼层(共13层) , 2008年建 , 板塔结合,8人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,随时看房
大方居满五唯一商品房东西通透楼层视野好配套齐全,必看好房,大方居 ,九棵树(家乐福),298,"33,639元/平",2室1厅 , 88.59平米 , 东 西 , 简装 , 高楼层(共22层) , 2010年建 , 板塔结合,3人关注 , 16天以前发布,,VR房源,房本满五年,随时看房
龙德嘉园优质两居室，满五年唯一精装修，诚心出售,必看好房,杨庄北区 ,杨庄,405,"55,571元/平",2室1厅 , 72.88平米 , 东南 , 精装 , 低楼层(共20层) , 2001年建 , 塔楼,7人关注 , 10天以前发布,近地铁,VR房源,房本满五年,随时看房
海特花园1999年，精装修，南北通透，满五年唯一,必看好房,海特花园西区 ,苹果园,405,"56,204元/平",2室1厅 , 72.06平米 , 南 北 , 精装 , 中楼层(共13层) , 1999年建 , 板塔结合,50人关注 , 15天以前发布,,VR房源,房本满五年,随时看房
此房三面朝南，采光充足，户型方正居住舒适,必看好房,远洋一方润园6号院 ,双桥,365,"49,265元/平",2室1厅 , 74.09平米 , 南 , 简装 , 高楼层(共15层) , 2011年建 , 板塔结合,29人关注 , 12天以前发布,,VR看装修,房本满五年,随时看房
开阳里五区 南北通透 中间楼层 优质两居 满五年唯一,必看好房,开阳里五区 ,北京南站,520,"78,598元/平",2室1厅 , 66.16平米 , 南 北 , 简装 , 中楼层(共6层) , 2002年建 , 板楼,9人关注 , 9天以前发布,近地铁,VR看装修,房本满五年,随时看房
东城区 景泰东里 东向一居室 近地铁 有电梯,必看好房,景泰东里 ,蒲黄榆,480,"93,386元/平",1室1厅 , 51.4平米 , 东 , 精装 , 高楼层(共9层) , 1994年建 , 板塔结合,2人关注 , 4天以前发布,近地铁,VR看装修,房本满五年,随时看房
gogo新世代高楼层朝西一居室，精装修，楼下双地铁,必看好房,gogo新世代 ,方庄,308,"66,870元/平",1室1厅 , 46.06平米 , 西 , 精装 , 高楼层(共32层) , 2005年建 , 板塔结合,2人关注 , 5天以前发布,近地铁,VR看装修,房本满两年,随时看房
玉桥北里，低楼层两居室，诚心出售，随时看房随时签约,必看好房,玉桥北里 ,乔庄,214,"38,072元/平",2室1厅 , 56.21平米 , 东 北 , 精装 , 低楼层(共6层) , 1990年建 , 板楼,1人关注 , 4天以前发布,,VR房源,房本满两年,随时看房
美然动力A3区，集中供暖，6号线褡裢坡，南北通透,必看好房,美然动力A3区 ,定福庄,400,"53,699元/平",1室1厅 , 74.49平米 , 南 北 , 精装 , 顶层(共6层) , 2002年建 , 板楼,13人关注 , 15天以前发布,近地铁,VR房源,房本满五年,随时看房
京品小区 1室1厅 东北,必看好房,京品小区 ,西罗园,420,"73,299元/平",1室1厅 , 57.3平米 , 东北 , 简装 , 15层 , 2005年建 , 板塔结合,4人关注 , 9天以前发布,,VR看装修,房本满五年,随时看房
